# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________      "3.2.1" 
Date_of_run______________________________________________________________ (date)_________________________ "27/10/2025 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "10:55" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "Generic large tokamak" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________           43 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           26 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
Objective_function_name__________________________________________________ (objf_name)____________________ "major radius          " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.60000000000000009e+00 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 1.03062164993646760e-05 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 2.55966127815200722e-12 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           13 OP 
b_plasma_toroidal_on_axis________________________________________________ (itvar001)_____________________ 4.82923899576553772e+00 
b_plasma_toroidal_on_axis_(final_value/initial_value)____________________ (xcm001)_______________________ 8.47234911537813606e-01 
b_plasma_toroidal_on_axis_(range_normalised)_____________________________ (nitvar001)____________________ 1.60694864813789196e-01 
b_plasma_toroidal_on_axis_(upper_bound)__________________________________ (boundu001)____________________ 2.99999999999999964e+01 
b_plasma_toroidal_on_axis_(lower_bound)__________________________________ (boundl001)____________________ 1.00000000000000002e-02 
rmajor___________________________________________________________________ (itvar002)_____________________ 8.00000000000000000e+00 
